SegmentID,Regulation_1,Regulation_2,Regulation_3
359,"3.75,  M - S, 10:00 AM- 8 PM",,
363,"2.25, M - S, 8:00 AM- 5 PM","3.25,  M - S, 5:00 PM- 8 PM",
364,"2.25, M - S, 8:00 AM- 5 PM","3.25,  M - S, 5:00 PM- 8 PM",
368,"3.25, M - S, 8:00 AM- 8 PM",,
369,"3.25, M - S, 8:00 AM- 8 PM",,
370,"3.25,  M - F, 5:00 PM- 8 PM",,
377,"3.25,  M - S, 10:00 AM- 8 PM",,
383,"2.75, M - F, 8:00 AM- 8 PM",,
384,"2.75, M - F, 8:00 AM- 8 PM",,
385,"2.75, M - F, 8:00 AM- 8 PM",,
386,"2.75, M - F, 8:00 AM- 8 PM",,
399,"2.25, M - S, 8:00 AM- 8 PM",,
409,"3.25,  M - S, 10:00 AM- 8 PM",,
410,"2.25, M - S, 8:00 AM- 5 PM","3.25,  M - S, 5:00 PM- 8 PM",
412,"3.25,  M - S, 10:00 AM- 8 PM",,
414,"3.25,  M - S, 10:00 AM- 8 PM",,
416,"3.25, M - S, 8:00 AM- 10 AM",,
421,"2.75, M - S, 8:00 AM- 8 PM",,
423,"3.25,  M - S, 10:00 AM- 8 PM",,
426,"3.25, M - S, 8:00 AM- 10 AM",,
427,"2.75, M - S, 8:00 AM- 8 PM",,
428,"2.75, M - S, 8:00 AM- 8 PM",,
438,"2.75,  M - S, 10:00 AM- 8 PM",,
444,"3.25,  M - S, 10:00 AM- 8 PM",,
445,"1.75, M - S, 8:00 AM- 10 AM","3.25,  M - S, 10:00 AM- 8 PM",
446,"3.25,  M - S, 10:00 AM- 8 PM",,
463,"2.75, M - S, 8:00 AM- 8 PM",,
471,"3.75,  M - S, 10:00 AM- 8 PM",,
472,"3.75,  M - S, 10:00 AM- 8 PM",,
473,"2.25, M - F, 8:00 AM- 10 AM","2.25,  M - F, 10:00 AM- 2 PM",
474,"2.25, M - S, 8:00 AM- 5 PM","3.25,  M - S, 5:00 PM- 8 PM",
475,"2.25, M - S, 8:00 AM- 5 PM","3.25,  M - S, 5:00 PM- 8 PM",
486,"2.75,  M - F, 5:00 PM- 8 PM",,
487,"2.75,  M - F, 5:00 PM- 8 PM",,
491,"2.75, M - S, 8:00 AM- 8 PM",,
493,"2.75, M - S, 8:00 AM- 8 PM",,
502,"1.25, M - S, 8:00 AM- 8 PM",,
504,"3.25,  M - S, 10:00 AM- 8 PM",,
506,"2.25, M - S, 8:00 AM- 10 AM","2.25,  M - S, 10:00 AM- 2 PM","1.5,  M - S, 2:00 PM- 8 PM"
507,"2.25, M - S, 8:00 AM- 10 AM","2.25,  M - S, 10:00 AM- 2 PM","1.5,  M - S, 2:00 PM- 8 PM"
509,"2.25, M - S, 8:00 AM- 10 AM","2.25,  M - S, 10:00 AM- 2 PM","1.5,  M - S, 2:00 PM- 8 PM"
513,"2.75, M - S, 8:00 AM- 8 PM",,
514,"2.75, M - S, 8:00 AM- 8 PM",,
515,"2.75, M - S, 8:00 AM- 8 PM",,
516,"2.75, M - S, 8:00 AM- 8 PM",,
518,"2.75, M - S, 8:00 AM- 8 PM",,
522,"2.25, M - F, 8:00 AM- 10 AM","2.25,  M - F, 10:00 AM- 2 PM",
523,"2.25, M - S, 8:00 AM- 8 PM",,
524,"2.25, M - S, 8:00 AM- 8 PM",,
526,"3.25,  M - S, 10:00 AM- 8 PM",,
544,"3.25,  M - S, 10:00 AM- 8 PM",,
546,"3.25,  M - S, 10:00 AM- 8 PM",,
547,"3.25,  M - S, 5:00 PM- 8 PM",,
549,"2.75,  M - F, 5:00 PM- 8 PM",,
550,"2.75,  M - F, 5:00 PM- 8 PM",,
557,"2.75, M - S, 8:00 AM- 8 PM",,
565,"2.75, M - S, 8:00 AM- 8 PM",,
567,"2.75, M - S, 8:00 AM- 8 PM",,
580,"2.75,  M - S, 5:00 PM- 8 PM",,
581,"2.75,  M - S, 5:00 PM- 8 PM",,
583,"2.25, M - F, 8:00 AM- 10 AM","2.25,  M - F, 10:00 AM- 2 PM",
584,"3.25,  M - S, 10:00 AM- 8 PM",,
586,"2.25, M - S, 8:00 AM- 8 PM",,
595,"3.75,  M - S, 10:00 AM- 8 PM",,
601,"2.25, M - F, 8:00 AM- 10 AM","2.25,  M - F, 10:00 AM- 2 PM",
602,"2.25, M - F, 8:00 AM- 10 AM","2.25,  M - F, 10:00 AM- 2 PM",
604,"2.75,  M - S, 5:00 PM- 8 PM",,
610,"1.75, M - S, 8:00 AM- 10 AM","3.75,  M - S, 10:00 AM- 8 PM",
611,"1.75, M - S, 8:00 AM- 10 AM","3.75,  M - S, 10:00 AM- 8 PM",
618,"2.25, M - S, 8:00 AM- 8 PM",,
619,"1.75, M - S, 8:00 AM- 10 AM","3.25,  M - S, 10:00 AM- 8 PM",
620,"1.75, M - S, 8:00 AM- 10 AM","3.25,  M - S, 10:00 AM- 8 PM",
623,"2.75, M - S, 8:00 AM- 8 PM",,
624,"2.75, M - S, 8:00 AM- 8 PM",,
625,"2.75, M - S, 8:00 AM- 8 PM",,
626,"2.75, M - S, 8:00 AM- 8 PM",,
627,"2.75, M - S, 8:00 AM- 8 PM",,
629,"3.25,  M - S, 10:00 AM- 8 PM",,
631,"3.25,  M - S, 10:00 AM- 8 PM",,
638,"3.25, M - S, 8:00 AM- 10 AM",,
639,"1.75, M - S, 8:00 AM- 10 AM","3.25,  M - S, 10:00 AM- 8 PM",
659,"3.25,  M - S, 5:00 PM- 8 PM",,
664,"2.75,  M - S, 10:00 AM- 8 PM",,
674,"2.75,  M - S, 5:00 PM- 8 PM",,
675,"2.75,  M - S, 5:00 PM- 8 PM",,
676,"2.75,  M - S, 5:00 PM- 8 PM",,
677,"2.75,  M - S, 5:00 PM- 8 PM",,
684,"3.25,  M - S, 10:00 AM- 8 PM",,
685,"3.25,  M - S, 10:00 AM- 8 PM",,
687,"3.25,  M - S, 5:00 PM- 8 PM",,
693,"3.25, M - S, 8:00 AM- 10 AM",,
694,"3.25, M - S, 8:00 AM- 10 AM",,
701,"1.25, M - S, 8:00 AM- 8 PM",,
711,"3.75,  M - S, 10:00 AM- 8 PM",,
712,"2.25, M - S, 8:00 AM- 5 PM","3.25,  M - S, 5:00 PM- 8 PM",
713,"2.25, M - S, 8:00 AM- 5 PM","3.25,  M - S, 5:00 PM- 8 PM",
718,"3.25, M - S, 8:00 AM- 8 PM",,
721,"2.75, M - S, 8:00 AM- 8 PM",,
727,"2.75, M - S, 8:00 AM- 8 PM",,
729,"2.75, M - S, 8:00 AM- 8 PM",,
735,"2.75,  M - S, 5:00 PM- 8 PM",,
736,"2.75,  M - S, 5:00 PM- 8 PM",,
739,"1.75, M - S, 8:00 AM- 10 AM","3.25,  M - S, 10:00 AM- 8 PM",
740,"3.25,  M - S, 10:00 AM- 8 PM",,
752,"3.25,  M - S, 10:00 AM- 8 PM",,
765,"2.75, M - S, 8:00 AM- 8 PM",,
768,"3.25,  M - S, 5:00 PM- 8 PM",,
775,"2.25, M - F, 8:00 AM- 8 PM",,
776,"2.25, M - F, 8:00 AM- 8 PM",,
777,"2.25, M - F, 8:00 AM- 8 PM",,
785,"2.75, M - F, 8:00 AM- 8 PM",,
786,"2.75, M - F, 8:00 AM- 8 PM",,
787,"2.75, M - F, 8:00 AM- 8 PM",,
788,"2.75, M - F, 8:00 AM- 8 PM",,
790,"2.25, M - S, 8:00 AM- 8 PM",,
791,"2.25, M - S, 8:00 AM- 8 PM",,
792,"2.75, M - S, 8:00 AM- 8 PM",,
793,"3, M - F, 8:00 AM- 8 PM","3,  M - S, 8:00 AM- 8 PM",
805,"3.25,  M - S, 10:00 AM- 8 PM",,
806,"3.25,  M - S, 10:00 AM- 8 PM",,
807,"3.25,  M - S, 10:00 AM- 8 PM",,
808,"3.25,  M - S, 5:00 PM- 8 PM",,
809,"3.25,  M - S, 5:00 PM- 8 PM",,
810,"3.25,  M - S, 5:00 PM- 8 PM",,
811,"3.25,  M - S, 5:00 PM- 8 PM",,
820,"2.75,  M - S, 5:00 PM- 8 PM",,
827,"3.25,  M - F, 5:00 PM- 8 PM",,
836,"3.25,  M - S, 10:00 AM- 8 PM",,
837,"2.75, M - S, 8:00 AM- 2 PM",,
838,"2.75, M - S, 8:00 AM- 2 PM",,
840,"2.75, M - S, 8:00 AM- 2 PM",,
841,"3.25,  M - S, 10:00 AM- 8 PM",,
845,"3.25,  M - S, 10:00 AM- 8 PM",,
852,"3.25, M - S, 8:00 AM- 8 PM",,
856,"3.25,  M - S, 10:00 AM- 8 PM",,
862,"2.75, M - S, 8:00 AM- 8 PM",,
863,"2.75, M - S, 8:00 AM- 8 PM",,
865,"2.75, M - S, 8:00 AM- 8 PM",,
866,"2.75, M - S, 8:00 AM- 8 PM",,
867,"2.75, M - S, 8:00 AM- 8 PM",,
868,"2.75, M - S, 8:00 AM- 8 PM",,
871,"2.25, M - F, 8:00 AM- 8 PM",,
874,"3.25,  M - S, 5:00 PM- 8 PM",,
875,"1.25, M - S, 8:00 AM- 8 PM",,
878,"3.25, M - F, 9:00 AM- 4 PM","3.25,  M - F, 7:00 PM- 8 PM","3.25,  S, 8:00 AM- 8 PM"
879,"3.25, M - F, 9:00 AM- 4 PM","3.25,  M - F, 7:00 PM- 8 PM","3.25,  S, 8:00 AM- 8 PM"
880,"3.25, M - F, 9:00 AM- 4 PM","3.25,  M - F, 7:00 PM- 8 PM","3.25,  S, 8:00 AM- 8 PM"
881,"3.25, M - F, 9:00 AM- 4 PM","3.25,  M - F, 7:00 PM- 8 PM","3.25,  S, 8:00 AM- 8 PM"
890,"3.25, M - F, 9:00 AM- 4 PM","3.25,  M - F, 7:00 PM- 8 PM","3.25,  S, 8:00 AM- 8 PM"
895,"3.25, M - F, 9:00 AM- 4 PM","3.25,  M - F, 7:00 PM- 8 PM","3.25,  S, 8:00 AM- 8 PM"
896,"3.25, M - F, 9:00 AM- 4 PM","3.25,  M - F, 7:00 PM- 8 PM","3.25,  S, 8:00 AM- 8 PM"
897,"3.25, M - F, 9:00 AM- 4 PM","3.25,  M - F, 7:00 PM- 8 PM","3.25,  S, 8:00 AM- 8 PM"
899,"3.25, M - S, 8:00 AM- 8 PM",,
900,"3.25, M - S, 8:00 AM- 8 PM",,
902,"3.25, M - F, 9:00 AM- 4 PM","3.25,  M - F, 7:00 PM- 8 PM","3.25,  S, 8:00 AM- 8 PM"
903,"3.25, M - F, 9:00 AM- 4 PM","3.25,  M - F, 7:00 PM- 8 PM","3.25,  S, 8:00 AM- 8 PM"
908,"3.25, M - F, 9:00 AM- 4 PM","3.25,  M - F, 7:00 PM- 8 PM","3.25,  S, 8:00 AM- 8 PM"
909,"3.25, M - F, 9:00 AM- 4 PM","3.25,  M - F, 7:00 PM- 8 PM","3.25,  S, 8:00 AM- 8 PM"
913,"3.25, M - F, 9:00 AM- 4 PM","3.25,  M - F, 7:00 PM- 8 PM","3.25,  S, 8:00 AM- 8 PM"
914,"2.75, M - S, 8:00 AM- 8 PM",,
920,"3.25, M - F, 9:00 AM- 4 PM","3.25,  M - F, 7:00 PM- 8 PM","3.25,  S, 8:00 AM- 8 PM"
921,"3.25, M - F, 9:00 AM- 4 PM","3.25,  M - F, 7:00 PM- 8 PM","3.25,  S, 8:00 AM- 8 PM"
922,"3.25, M - F, 9:00 AM- 4 PM","3.25,  M - F, 7:00 PM- 8 PM","3.25,  S, 8:00 AM- 8 PM"
925,"2.25, M - S, 8:00 AM- 8 PM",,
926,"2.25, M - S, 8:00 AM- 8 PM",,
100004,"3.25, M - F, 8:00 AM- 8 PM","3.25,  S, 6:00 AM- 12 PM",
